epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4998,2.06561,8.25485,2.37883,0.00157,0.62963,0.01963,0.00584,1.78022,4.26504,2.27031,0.00012,0.00012,0.00012
2,14.3333,1.48549,5.44335,1.83538,0.00148,0.59259,0.09773,0.03325,1.98954,4.31566,2.55057,0.000254852,0.000254852,0.000254852
3,16.8508,1.10857,6.68445,1.55489,0.00148,0.59259,0.1501,0.06147,2.15843,4.36135,2.75569,0.00038416,0.00038416,0.00038416
4,19.2028,1.30743,5.89422,1.60749,0.00148,0.59259,0.25045,0.11169,1.94466,4.40001,2.59183,0.000507924,0.000507924,0.000507924
5,21.6329,1.22289,5.19938,1.71898,0.12965,0.25926,0.10272,0.03786,2.37682,4.43475,5.4446,0.000626144,0.000626144,0.000626144
6,23.9902,1.25659,4.57444,1.59597,0.15763,0.25926,0.1779,0.04967,3.09714,4.93007,4.40797,0.00073882,0.00073882,0.00073882
7,26.5108,1.58029,5.849,1.81249,0.24889,0.2963,0.18746,0.07741,2.61578,5.02137,3.64216,0.000845952,0.000845952,0.000845952
8,28.8782,1.28066,4.79204,1.59675,0.23049,0.25926,0.08634,0.02488,2.54938,5.11121,4.10341,0.00094754,0.00094754,0.00094754
9,31.3144,1.55656,4.75885,1.7635,0.43258,0.14815,0.12294,0.04318,2.39026,6.8551,5.08633,0.00104358,0.00104358,0.00104358
10,33.6555,1.55519,4.80689,1.82133,0.20888,0.44444,0.16425,0.06257,2.10738,5.13181,4.94333,0.00113408,0.00113408,0.00113408
11,36.0176,1.57547,5.92937,1.98614,0.28492,0.14815,0.09479,0.02725,2.37209,4.88898,4.51037,0.00121904,0.00121904,0.00121904
12,38.4197,1.58203,4.6219,1.91847,0.17115,0.11111,0.03158,0.00847,3.52742,7.09387,5.61638,0.00129845,0.00129845,0.00129845
13,40.7558,1.81646,3.62296,2.1449,0.21507,0.25926,0.09688,0.03336,2.8025,6.88967,4.49273,0.00137232,0.00137232,0.00137232
14,43.1073,1.95329,4.0543,2.23212,0.04953,0.14815,0.04857,0.01757,3.80143,9.58937,5.46323,0.00144064,0.00144064,0.00144064
