epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6777,2.81815,20.1013,4.90982,0,0,0,0,nan,nan,nan,0.0739,0.0029,0.0029
2,40.071,2.89756,3.50057,3.67214,0,0,0,0,nan,nan,nan,0.0467832,0.00578318,0.00578318
3,44.5313,2.72758,3.01473,3.26069,0.00133,0.15741,0.0637,0.01567,nan,nan,nan,0.0195476,0.00854756,0.00854756
4,48.9792,2.74112,2.71574,3.26434,0.35664,0.1453,0.11287,0.02549,nan,nan,nan,0.009406,0.009406,0.009406
5,53.4184,2.6819,2.58437,3.0963,0.1295,0.46225,0.34329,0.1314,nan,nan,nan,0.009208,0.009208,0.009208
6,57.8708,2.66041,2.48012,3.01001,0.56976,0.40123,0.46774,0.1789,2.50561,2.47585,3.74145,0.00901,0.00901,0.00901
7,62.4048,2.49742,2.42721,2.91392,0.35522,0.80793,0.66287,0.29716,1.85714,1.57573,2.40688,0.008812,0.008812,0.008812
8,66.8542,2.49915,2.3943,2.87249,0.42927,0.62016,0.53103,0.21242,2.05934,1.78745,2.49618,0.008614,0.008614,0.008614
9,71.3039,2.40823,2.34358,2.76678,0.66752,0.53452,0.6219,0.2752,1.77219,1.6407,2.32942,0.008416,0.008416,0.008416
10,75.7389,2.38159,2.31145,2.76595,0.66569,0.4981,0.65178,0.31421,1.63225,1.61624,2.2418,0.008218,0.008218,0.008218
11,80.1662,2.305,2.2521,2.7018,0.42918,0.62114,0.65821,0.3083,1.66406,1.56012,2.29753,0.00802,0.00802,0.00802
12,84.6008,2.20742,2.08617,2.69045,0.7131,0.75912,0.77638,0.35861,1.70846,1.43344,2.27271,0.007822,0.007822,0.007822
13,89.0512,2.18876,1.96029,2.65284,0.67005,0.78232,0.78635,0.39697,1.60779,1.36594,2.15833,0.007624,0.007624,0.007624
14,93.4982,2.16287,1.99917,2.64402,0.74831,0.79094,0.85131,0.4179,1.57227,1.36018,2.13592,0.007426,0.007426,0.007426
15,97.9656,2.18554,1.95093,2.61957,0.80389,0.82484,0.84861,0.43503,1.49177,1.33384,2.11401,0.007228,0.007228,0.007228
16,102.516,2.09682,1.8599,2.57401,0.72078,0.80722,0.83352,0.41112,1.62745,1.36956,2.11544,0.00703,0.00703,0.00703
17,106.939,2.04904,1.82353,2.53384,0.4594,0.76859,0.56311,0.29079,1.59973,2.20783,2.11725,0.006832,0.006832,0.006832
18,111.389,2.0769,1.81387,2.57593,0.64776,0.7246,0.83359,0.46386,1.53906,1.3851,2.11234,0.006634,0.006634,0.006634
19,115.832,2.08555,1.73721,2.56704,0.97826,0.84852,0.90338,0.51039,1.49669,1.21163,2.05409,0.006436,0.006436,0.006436
20,120.267,2.0016,1.69047,2.47529,0.79949,0.85793,0.89397,0.47042,1.59456,1.35981,2.13414,0.006238,0.006238,0.006238
