epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,172.8,1.41541,5.45019,2.06777,0.91161,0.51121,0.54626,0.3874,1.14585,3.1926,1.54554,0.00141114,0.000470379,0.00141114,0.000470379,0.00141114,0.000470379,0.00141114,0.000470379
2,203.404,1.07205,2.75069,1.52374,0.98475,0.621,0.65215,0.44827,1.22028,1.97002,1.56651,0.00281202,0.00093734,0.00281202,0.00093734,0.00281202,0.00093734,0.00281202,0.00093734
3,233.665,1.01092,1.75814,1.4149,0.98855,0.64286,0.67135,0.47711,1.16364,1.18311,1.5398,0.00418461,0.00139487,0.00418461,0.00139487,0.00418461,0.00139487,0.00418461,0.00139487
4,263.988,0.99807,1.30827,1.40103,0.99128,0.65079,0.68125,0.46937,1.27523,0.86481,1.71295,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656,0.00415968,0.00138656
5,294.114,1.01883,1.12702,1.36434,0.99453,0.63113,0.68416,0.51602,0.97445,0.53942,1.34368,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,324.346,0.97536,0.89756,1.35476,0.65762,0.64932,0.68658,0.49245,1.1072,0.53496,1.45779,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,354.505,0.98905,0.78245,1.34429,0.59028,0.80448,0.74639,0.55984,0.91788,0.49876,1.26839,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,384.809,0.91149,0.67156,1.28011,0.67094,0.8,0.7655,0.56575,0.9289,0.43476,1.21194,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,415.121,0.90207,0.6776,1.28278,0.74122,0.73333,0.74217,0.5855,0.78136,0.43024,1.13468,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,445.446,0.97343,0.61619,1.34077,0.79795,0.79137,0.78747,0.63236,0.68065,0.41212,1.11618,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,475.733,0.93973,0.59711,1.31514,0.9958,0.65024,0.70342,0.54791,0.94907,0.49394,1.28081,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,505.957,0.94958,0.58414,1.32347,0.95882,0.76669,0.79878,0.60714,0.90879,0.45256,1.25986,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,536.199,0.89204,0.56367,1.30205,0.81974,0.79533,0.80172,0.61933,0.84514,0.43786,1.21464,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,566.379,0.90198,0.599,1.30933,0.84791,0.77617,0.8167,0.62611,0.80946,0.49011,1.20519,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
