epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.7812,2.78708,26.8723,5.34929,0,0,0,0,nan,nan,nan,0.0739,0.0029,0.0029
2,9.13953,2.89371,3.46112,3.41345,0,0,0,0,nan,nan,nan,0.0468708,0.00587079,0.00587079
3,13.5919,2.78804,2.78211,3.07469,0.3342,0.01709,0.00025,9e-05,nan,nan,nan,0.0198119,0.00881189,0.00881189
4,18.0198,2.72424,2.54994,3.0263,0.38297,0.23924,0.10456,0.03171,1.75258,8.82516,2.49139,0.0098515,0.0098515,0.0098515
5,22.4601,2.68253,2.46095,2.94823,0.27645,0.25576,0.19051,0.06845,2.59395,3.10288,3.15833,0.009802,0.009802,0.009802
6,26.8983,2.5681,2.34559,2.92089,0.71075,0.56287,0.59322,0.2965,1.89547,1.83552,2.56097,0.0097525,0.0097525,0.0097525
7,31.4409,2.46668,2.28344,2.85863,0.77607,0.47874,0.45635,0.20326,2.09341,1.96755,2.72288,0.009703,0.009703,0.009703
8,35.8608,2.41729,2.22781,2.7541,0.72024,0.5515,0.54775,0.26817,1.76741,1.68959,2.46091,0.0096535,0.0096535,0.0096535
9,40.2629,2.30929,2.1712,2.72409,0.57286,0.7079,0.70999,0.30475,1.88367,1.72971,2.43843,0.009604,0.009604,0.009604
10,44.7051,2.25804,2.0977,2.65453,0.58808,0.70559,0.73878,0.40317,1.70702,1.67213,2.3249,0.0095545,0.0095545,0.0095545
11,49.1455,2.19387,2.14038,2.61191,0.43348,0.76662,0.6967,0.38935,1.54785,1.54725,2.28246,0.009505,0.009505,0.009505
12,53.5668,2.13738,2.03598,2.56972,0.40369,0.85351,0.71017,0.30416,1.87889,1.67541,2.2956,0.0094555,0.0094555,0.0094555
13,57.9711,2.01152,1.96865,2.47769,0.59903,0.78026,0.76837,0.40846,1.65895,1.52085,2.21782,0.009406,0.009406,0.009406
14,62.4458,1.9601,1.89981,2.46585,0.50713,0.84787,0.6456,0.33179,1.83602,1.60825,2.3049,0.0093565,0.0093565,0.0093565
15,66.9565,2.00657,1.83581,2.45689,0.58335,0.88582,0.74966,0.44788,1.53527,1.44534,2.18426,0.009307,0.009307,0.009307
16,71.5651,1.91952,1.73574,2.42544,0.54336,0.83896,0.6366,0.34727,1.73982,1.44503,2.30916,0.0092575,0.0092575,0.0092575
17,76.0243,1.90564,1.72204,2.35996,0.53819,0.76853,0.68082,0.42668,1.41833,1.51128,2.17573,0.009208,0.009208,0.009208
18,80.4552,1.9586,1.76657,2.42263,0.52961,0.90551,0.73854,0.43809,1.54109,1.48305,2.24109,0.0091585,0.0091585,0.0091585
19,84.8642,1.89274,1.68775,2.3765,0.60734,0.87061,0.72733,0.45551,1.39957,1.31957,2.11544,0.009109,0.009109,0.009109
20,89.3012,1.79311,1.62929,2.28572,0.47413,0.91406,0.75707,0.42905,1.43476,1.38369,2.18389,0.0090595,0.0090595,0.0090595
21,93.7024,1.75069,1.58988,2.25551,0.74596,0.88841,0.84438,0.54449,1.33798,1.17146,2.05689,0.00901,0.00901,0.00901
22,98.1495,1.79286,1.5665,2.23899,0.75953,0.70774,0.80864,0.53315,1.36318,1.22759,2.0026,0.0089605,0.0089605,0.0089605
23,102.574,1.63665,1.41683,2.13652,0.90905,0.75241,0.87702,0.57522,1.34191,1.18059,2.06206,0.008911,0.008911,0.008911
24,107.103,1.65438,1.37242,2.12073,0.85779,0.83798,0.8915,0.57236,1.33234,1.10124,2.01044,0.0088615,0.0088615,0.0088615
25,111.494,1.64847,1.38416,2.10691,0.91761,0.81819,0.91378,0.5994,1.30094,0.98902,1.92785,0.008812,0.008812,0.008812
26,115.915,1.65806,1.33013,2.11167,0.85879,0.78464,0.88155,0.57439,1.29566,1.10527,1.98277,0.0087625,0.0087625,0.0087625
27,120.319,1.59239,1.24754,2.07338,0.93426,0.70893,0.86559,0.57507,1.32218,1.11372,2.02542,0.008713,0.008713,0.008713
28,124.745,1.58469,1.24225,2.10067,0.84054,0.82121,0.88985,0.62,1.17056,0.97739,1.86418,0.0086635,0.0086635,0.0086635
29,129.185,1.56225,1.25752,2.02882,0.95955,0.86138,0.9127,0.63363,1.18712,0.88782,1.88968,0.008614,0.008614,0.008614
30,133.617,1.5125,1.1804,1.99087,0.85413,0.86607,0.90121,0.60149,1.20561,0.97786,1.87693,0.0085645,0.0085645,0.0085645
31,138.035,1.5145,1.16042,1.98145,0.96101,0.87756,0.91428,0.63373,1.13852,0.8696,1.87047,0.008515,0.008515,0.008515
32,142.458,1.51232,1.16749,1.98112,0.98445,0.85824,0.91817,0.61237,1.23283,0.83963,1.93833,0.0084655,0.0084655,0.0084655
33,146.967,1.48115,1.16498,1.93848,0.97316,0.91406,0.92307,0.65258,1.09848,0.8039,1.76477,0.008416,0.008416,0.008416
34,151.409,1.40865,1.10939,1.88685,0.91243,0.87134,0.92097,0.63297,1.2199,0.8727,1.89717,0.0083665,0.0083665,0.0083665
35,155.844,1.46671,1.09658,1.93804,0.9174,0.82718,0.88175,0.56679,1.27428,0.98596,1.97125,0.008317,0.008317,0.008317
36,160.285,1.43528,1.06777,1.88937,0.96557,0.91094,0.92707,0.64103,1.16888,0.77942,1.87712,0.0082675,0.0082675,0.0082675
37,164.712,1.44881,1.05641,1.91373,0.98203,0.8585,0.90778,0.65842,1.07099,0.79733,1.7816,0.008218,0.008218,0.008218
38,169.169,1.38641,1.01671,1.84864,0.98175,0.91047,0.92692,0.68404,0.98977,0.66262,1.70991,0.0081685,0.0081685,0.0081685
39,173.618,1.38989,1.01419,1.87757,0.98293,0.8968,0.92291,0.64761,1.18089,0.74884,1.87655,0.008119,0.008119,0.008119
40,178.034,1.38484,1.00686,1.85703,0.95429,0.89084,0.92382,0.61139,1.32544,0.78615,2.08936,0.0080695,0.0080695,0.0080695
41,182.439,1.38337,1.00279,1.87004,0.98785,0.91832,0.92532,0.7001,1.00969,0.68203,1.72173,0.00802,0.00802,0.00802
42,186.91,1.33234,0.94785,1.83841,0.98619,0.91968,0.9299,0.71298,0.95051,0.65785,1.72572,0.0079705,0.0079705,0.0079705
43,191.43,1.35889,0.94389,1.80689,0.98724,0.91661,0.92865,0.68778,0.96512,0.63504,1.69962,0.007921,0.007921,0.007921
44,195.856,1.37948,0.96478,1.81033,0.98642,0.91673,0.922,0.68219,0.98725,0.66905,1.67462,0.0078715,0.0078715,0.0078715
45,200.268,1.37094,1.00769,1.84026,0.9959,0.9102,0.93303,0.69405,0.94714,0.65141,1.63277,0.007822,0.007822,0.007822
46,204.674,1.37443,1.03283,1.82662,0.94446,0.86187,0.9231,0.61938,1.27747,0.90508,1.97191,0.0077725,0.0077725,0.0077725
